index,time,x,y,z,intensity
106,1580970552832,-0.0001773993,0.0002009397,0.0006242808,1
107,1580970552838,-0.0001461993,0.0003296397,0.0005891808,1
108,1580970552843,-3.69992999999999E-05,0.0002789397,0.0007178808,1
109,1580970552849,-0.0001344993,0.0003218397,0.0008582808,1
110,1580970552859,-0.0001149993,2.15396999999999E-05,0.0007061808,1
111,1580970552865,-0.0001149993,0.0001892397,0.0005657808,1
112,1580970552871,-0.0001773993,0.0001892397,0.0005657808,1
113,1580970552876,-0.0001539993,0.0001463397,0.0008153808,1
114,1580970552882,-4.47992999999952E-05,0.0002399397,0.0009050808,1
115,1580970552888,-4.47992999999952E-05,0.0002399397,0.0009050808,1
116,1580970552894,-4.0899300000001E-05,0.0002204397,0.0008855808,1
117,1580970552899,1.7600700000002E-05,0.0002009397,0.0005072808,1
118,1580970552905,-8.37992999999995E-05,0.0002282397,0.0008816808,1
119,1580970552911,-8.37992999999995E-05,0.0002282397,0.0008816808,1
120,1580970552917,-4.0899300000001E-05,0.0003491397,0.0010844808,1
121,1580970552923,-4.0899300000001E-05,0.0004466397,0.0009440808,1
122,1580970552928,-0.0001110993,0.0003257397,0.0008114808,1
123,1580970552934,-0.0001110993,0.0003257397,0.0008114808,1
124,1580970552940,-0.0001539993,0.0002477397,0.0007490808,1
0,1580970552048,-0.0002241993,0.0002282397,0.0009674808,1
1,1580970552054,0.0001034007,0.0002048397,0.0007412808,1
2,1580970552060,3.71007000000006E-05,0.0001580397,0.0005228808,1
3,1580970552066,3.71007000000006E-05,0.0001580397,0.0007919808,1
4,1580970552072,-0.0001929993,0.0004193397,0.0007919808,1
5,1580970552077,-0.0001227993,0.0002165397,0.0007295808,1
6,1580970552083,2.00070000000441E-06,0.0002906397,0.0008699808,1
7,1580970552089,2.00070000000441E-06,0.0002906397,0.0005501808,1
8,1580970552095,-0.0001149993,0.0002282397,0.0005501808,1
9,1580970552101,-0.0001578993,0.0003764397,0.0005501808,1
10,1580970552107,-0.0002202993,0.0003491397,0.0007256808,1
11,1580970552113,-0.0002202993,0.0003491397,0.0007256808,1
12,1580970552118,-2.13992999999954E-05,0.0001853397,0.0007451808,1
13,1580970552124,5.66006999999993E-05,0.0001736397,0.0010103808,1
14,1580970552130,-3.69992999999999E-05,0.0003062397,0.0004682808,1
15,1580970552141,-7.98992999999984E-05,0.0003179397,0.0005540808,1
16,1580970552147,-6.42993000000008E-05,0.0002750397,0.0008582808,1
17,1580970552153,2.93006999999984E-05,0.0003023397,0.0009635808,1
18,1580970552228,2.93006999999984E-05,0.0003023397,0.0009635808,1
19,1580970552308,0.0001307007,0.0003257397,0.0006008808,1
20,1580970552321,4.49007000000029E-05,0.0003881397,0.0007997808,1
21,1580970552327,2.15007000000031E-05,0.0003179397,0.0006359808,1
22,1580970552333,2.15007000000031E-05,0.0003179397,0.0006359808,1
23,1580970552339,-0.0001656993,0.0001970397,0.0009401808,1
24,1580970552345,-0.0001383993,0.0005480397,0.0013340808,1
25,1580970552351,4.8800700000004E-05,0.0002009397,0.0007568808,1
26,1580970552357,4.8800700000004E-05,0.0002009397,0.0007568808,1
27,1580970552363,-8.37992999999995E-05,0.0001073397,0.0006983808,1
28,1580970552369,6.05007000000005E-05,0.0002555397,0.0006125808,1
29,1580970552375,6.05007000000005E-05,0.0003140397,0.0009986808,1
30,1580970552380,4.10007000000018E-05,0.0003140397,0.0009986808,1
31,1580970552386,-9.93992999999971E-05,0.0002594397,0.0007373808,1
32,1580970552392,9.56007000000037E-05,0.0001463397,0.0005033808,1
33,1580970552398,9.56007000000037E-05,0.0002087397,0.0004370808,1
34,1580970552404,-7.20992999999962E-05,0.0002087397,0.0004370808,1
35,1580970552410,-0.0001344993,0.0004388397,0.0008192808,1
36,1580970552416,-0.0001305993,0.0003257397,0.0007685808,1
37,1580970552422,-0.0001305993,0.0001502397,0.0007880808,1
38,1580970552428,6.05007000000005E-05,0.0001502397,0.0007880808,1
